Scrip Symbol,DeliveryNet,DeliveryGross,IntradayNet,IntradayGross,TotalNet
EXCELSOFT,0.0,0.0,103.53,129.0,103.53
ALOKINDS,103.57,118.3,0.0,0.0,103.57
SBIFUNDS,580.36,643.3,-468.08000000000004,-102.94999999999999,112.27999999999997
SMARTWORKS,117.42,197.1,0.0,0.0,117.42
SHADOWFAX,0.0,0.0,123.86,154.5,123.86
IDEA,559.62,3495.96,-431.8300000000013,4019.4899999999993,127.78999999999871
MOREPENLAB,133.17,158.0,0.0,0.0,133.17
HDFCBANK,137.75,231.0,0.0,0.0,137.75
APOLLO,166.01,189.75,0.0,0.0,166.01
JNPR,0.0,0.0,171.97,205.5,171.97
ADANIENT,-10.15,46.5,217.73,230.75,207.57999999999998
SHANKESH,0.0,0.0,209.33,250.88,209.33
BAJAJFINSV,216.88,231.0,0.0,0.0,216.88
SUDEEPPHRM,0.0,0.0,270.93,304.25,270.93
ADANIPOWER,0.0,0.0,275.19,302.2,275.19
KUSUMGAR,0.0,0.0,287.63000000000005,403.45,287.63000000000005
AFCONS,195.44,228.8,153.2,169.5,348.64
IGIL,2266.84,2362.0,-1904.37,-1814.85,362.47000000000025
NTPCGREEN,1576.4,1810.96,-1209.93,-1061.06,366.47
LOTUSDEV,918.72,966.0,-542.0,-302.69,376.72
SAGILITY,-130.41,13.0,512.8,570.8,382.39
EBGNG,1181.51,1487.8,-761.8299999999999,-10.430000000000064,419.68000000000006
AMAGI,0.0,0.0,454.95,506.0,454.95
MOLBIO,0.0,0.0,555.74,852.0,555.74
GEMAROMA,0.0,0.0,576.99,595.0,576.99
JSWCEMENT,-133.24,-99.96,734.52,750.72,601.28
DHOOTTRANS,0.0,0.0,602.19,1391.95,602.19
HORIZONIND,0.0,0.0,636.68,797.43,636.68
ITI,-977.76,-750.0,1657.2,1850.0,679.44
URBANCO,-1208.18,-1119.1,1914.52,1994.51,706.3399999999999
BLEL,0.0,0.0,760.98,1213.8,760.98
